,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
26,15.13586680094401,0.7466032744768473,0.6467506885528564,0.011433091335413073,True,20,2,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.3480392156862745,0.3337129840546697,0.3552509724022967,0.345667724047747,0.008951320757643664,94
27,29.339081525802612,0.27221434166715713,1.0269365310668945,0.009256838943672541,True,20,2,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.3524990605035701,0.3357996585088219,0.349608647036899,0.3459691220164303,0.007287071360819486,93
28,13.680637041727701,0.3813493347687404,0.6381586392720541,0.006569034976043173,True,20,2,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.3550629344354687,0.33888678530859523,0.34693497298304454,0.3469615642423695,0.006603911995426995,91
29,27.16717521349589,0.350951147415008,1.0322583516438801,0.010236795304726739,True,20,2,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.35196687370600416,0.34096499526963103,0.34607495804586985,0.34633560900716837,0.004495278002148651,92
30,11.864546378453573,0.27133800442686395,0.6193506717681885,0.0179403215810954,True,20,5,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.32796317606444186,0.3200921128382268,0.32818753573470555,0.3254142748791247,0.0037644513462647164,103
31,23.807185014088947,0.1703420059579505,0.9919336636861166,0.015935486784428,True,20,5,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.3314811266526154,0.31819930742593305,0.3253862292580584,0.3250222211122023,0.005428385698667978,106
32,11.988513310750326,0.16637924009795121,0.6214262644449869,0.017709001228723275,True,20,5,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.32796317606444186,0.3200921128382268,0.32818753573470555,0.3254142748791247,0.0037644513462647164,103
33,23.31251112620036,0.4859570990615681,0.9912842909495035,0.011833326703073663,True,20,5,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.3314811266526154,0.31819930742593305,0.3253862292580584,0.3250222211122023,0.005428385698667978,106
34,12.065389633178711,0.10224660607635862,0.6306742032368978,0.004294664576251518,True,20,5,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.32796317606444186,0.3200921128382268,0.32818753573470555,0.3254142748791247,0.0037644513462647164,103
35,23.447681427001953,0.2513918083089748,0.9893558820088705,0.011884558358800886,True,20,5,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.3314811266526154,0.31819930742593305,0.3253862292580584,0.3250222211122023,0.005428385698667978,106
36,40.40068372090658,0.42695118888269035,0.7958049774169922,0.019542002817524457,True,30,1,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.43275632490013316,0.407112616426757,0.42534235274707144,0.4217370980246538,0.010774919714380294,24
37,80.10835154851277,0.6086291639085224,1.3965155283610027,0.010026539395252484,True,30,1,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.4320347767931784,0.41040364803242696,0.4199701443025377,0.4208028563760477,0.00885047983309678,26
38,28.51805845896403,0.555135111676286,0.7974197069803873,0.012380531121260537,True,30,1,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.4279624893435635,0.4095139607032058,0.4206591913013931,0.4193785471160541,0.007585824033270074,27
39,56.657590548197426,0.5669207027039,1.3559629917144775,0.010629289025542527,True,30,1,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.43025038323965253,0.4087136929460581,0.41435897435897434,0.41777435018156167,0.009117962170269072,28
40,23.94017752011617,0.40126067233705087,0.7868781089782715,0.013508252085641494,True,30,1,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.42578865712808134,0.4031523642732049,0.41185593658452524,0.4135989859952705,0.009323057598919543,33
41,48.282820542653404,0.6246003971396138,1.312743107477824,0.034865745292982524,True,30,1,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.42854680227546976,0.4009119607155384,0.41299464316571627,0.41415113538557485,0.01131147566858755,32
42,21.997496366500854,0.5159563475909732,0.7395737171173096,0.005772202729526602,True,30,2,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.40487546369899313,0.3906528719229397,0.4009805638241989,0.3988362998153772,0.006001051591830204,43
43,44.11714235941569,0.2123189178164218,1.220763365427653,0.011986897061753892,True,30,2,2,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.4074924898391942,0.3918774492340577,0.3949876456053653,0.3981191948928724,0.006748447919340678,45
44,21.68094563484192,0.43983389704524156,0.7415475845336914,0.005729031272636444,True,30,2,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.40869718932296273,0.393028632402632,0.3929266136162688,0.39821747844728783,0.007410391666954206,44
45,43.66703128814697,0.3394219179652583,1.204969008763631,0.021694678315045023,True,30,2,5,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.4063716814159292,0.3893457275652485,0.38972542072630645,0.3951476099024947,0.007938130666941575,48
46,20.08953324953715,0.7243719479085481,0.7360619703928629,0.007043052724750911,True,30,2,10,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.4055446952194775,0.3823264201983769,0.3976711362032463,0.3951807505403669,0.009641009259106714,47
47,39.832879066467285,0.2860417554661485,1.2100106875101726,0.007941928266345833,True,30,2,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.4048252616640057,0.3845601436265709,0.3966095708988169,0.39533165872979786,0.008322401372263739,46
48,15.932593901952108,0.4365141681653928,0.6930218537648519,0.004569544138879091,True,30,5,2,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.37602777270235704,0.3575791227096058,0.3624406284252832,0.36534917461241534,0.007807385491988594,72
