,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__gamma,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
28,0.9714681307474772,0.010625723429950057,0.19852026303609213,0.00028445007388476235,0.0,0.01,7,3,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.06758331391284082,0.0617399438727783,0.09554432705558108,0.0749558616137334,0.014752399246538222,260
29,0.9080011049906412,0.012921873031670547,0.1996785799662272,0.003816829355445055,0.0,0.01,7,3,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.03281027104136947,0.039299242424242424,0.043529690087532526,0.03854640118438147,0.004408443687677647,263
30,1.6356923580169678,0.024732995512122883,0.34749309221903485,0.006005145142177689,0.0,0.01,7,3,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.3172252533125487,0.30754276827371696,0.3018794048551292,0.30888247548046494,0.006336133298754606,219
31,1.7168062527974446,0.059408986037003765,0.3515434265136719,0.018575241442924006,0.0,0.01,7,3,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.2977038796516231,0.29145332808192204,0.2851485148514851,0.29143524086167677,0.005125722171999313,231
32,1.0366020997365315,0.060444153572531946,0.20920602480570474,0.0067293015904063246,0.0,0.01,7,5,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.06128654970760234,0.08615526376410965,0.09637448370812299,0.081272099059945,0.014734873628057189,257
33,0.9500109354654948,0.001819131793422035,0.19530248641967773,0.003422736994257163,0.0,0.01,7,5,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.01583873290136789,0.039317858834675506,0.037995725480883404,0.031050772405642264,0.010770070212120425,269
34,1.587012767791748,0.013905775030261967,0.34247756004333496,0.004996142615798744,0.0,0.01,7,5,200,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 1}",0.32006214798990096,0.30562585166439554,0.3014878621769773,0.3090586206104246,0.007961949105701034,218
35,1.4808144569396973,0.04308873986221364,0.31331555048624676,0.007164551771925859,0.0,0.01,7,5,200,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 5, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__reg_lambda': 10}",0.29916897506925205,0.28875739644970416,0.2793473935535217,0.2890912550241593,0.008095569554062229,232
36,0.5815661748250326,0.005258384615114273,0.15573970476786295,0.002915104141142532,0.0,0.1,3,1,100,1,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 1}",0.4131374243733794,0.3940834653988378,0.39664804469273746,0.4012896448216516,0.008442814576843047,208
37,0.5616496404012045,0.006714666430123819,0.15709590911865234,0.00657561868168119,0.0,0.1,3,1,100,10,"{'xgbclassifier__gamma': 0, 'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 10}",0.40951719346995485,0.38945879023700036,0.3967753242201192,0.39858376930902484,0.008288053261316954,215
